video_index,section_number,section_name,video_code,slide_number,slide_name
1,1,Terminology,01,1,If Already Familiar with My Terms
1,1,Terminology,01,2,Common Terms
1,1,Terminology,01,3,Common Abbreviations
1,1,Terminology,01,4,Every Market Always in Either Trend or Trading Range
1,1,Terminology,01,5,Support and Resistance
1,1,Terminology,01,6,Breakout
1,1,Terminology,01,7,Breakout
1,1,Terminology,01,8,Candles and Bars
1,1,Terminology,01,9,Two Types of Candles
1,1,Terminology,01,10,Technicals and Fundamentals
1,1,Terminology,01,11,ABC Pullback in Bull Trend 2 Legs Sideways to Down
1,1,Terminology,01,12,ABC Pullback in Bear Trend 2 Legs Sideways to Up
1,1,Terminology,01,13,Minor Trend Reversal Usually Leads to Leg in TR
1,1,Terminology,01,14,Major Trend Reversal Bear to Bull
1,1,Terminology,01,15,Major Trend Reversal Bull to Bear
1,1,Terminology,01,16,Inside and Outside Bars
1,1,Terminology,01,17,Scalps and Swing Trades
1,1,Terminology,01,18,On Daily Charts
1,1,Terminology,01,19,Chart Price Increments
1,1,Terminology,01,20,Moving Average
1,1,Terminology,01,21,Computers
1,1,Terminology,01,22,Institutions
1,1,Terminology,01,23,Setup
1,1,Terminology,01,24,Entry Bar and Signal Bar
1,1,Terminology,01,25,With Trend and Countertrend
1,1,Terminology,01,26,Context All of the Bars to the Left
1,1,Terminology,01,27,Always In Direction
1,1,Terminology,01,28,"Example Always In Short, Then Long"
2,2,Chart Basics and Price Action,02A,1,Main Points
2,2,Chart Basics and Price Action,02A,2,"Brooks Trading Course 2 Versions, 2 Parts Each"
2,2,Chart Basics and Price Action,02A,3,Purpose of Charts
2,2,Chart Basics and Price Action,02A,4,Common Chart Types
2,2,Chart Basics and Price Action,02A,5,Which Chart Is Best
2,2,Chart Basics and Price Action,02A,6,Charts 2 Dimensions
2,2,Chart Basics and Price Action,02A,7,3 or More Variables
2,2,Chart Basics and Price Action,02A,8,Most Day Traders Use Candle Charts
2,2,Chart Basics and Price Action,02A,9,Candle Charts 3 Types of Bars
2,2,Chart Basics and Price Action,02A,10,Candle 2 Parts
2,2,Chart Basics and Price Action,02A,11,Candle 2 Parts
2,2,Chart Basics and Price Action,02A,12,Candle 2 Parts
2,2,Chart Basics and Price Action,02A,13,How Much Information per Bar
2,2,Chart Basics and Price Action,02A,14,Example of Bar Types 5 Min Charts
2,2,Chart Basics and Price Action,02A,15,Candlestick Chart and Less Popular Alternatives
2,2,Chart Basics and Price Action,02A,16,Example of Doji Candle TR Bar
